Address,AddrCoor,Latitude,Longitude,WeapType
800 Brandie Road,"800 Brandie Rd, Madison, Wisconsin, 53714",43.108655483620005,-89.30733598138214,gun
2400 block Allied Drive,"2400 Allied Dr, Madison, Wisconsin, 53711",43.02674642397273,-89.45983585683668,gun
4710 East Towne Blvd. (Applebee's Neighborhod Grill & Bar),Applebee's,43.12919000000005,-89.30436999999996,gun
1745 Parkside Drive (Old Country Buffet),"1745 Parkside Dr, Madison, Wisconsin, 53704",43.122445228432035,-89.31557565410631,knife
1100 Bl Moorland Rd,"1100 Moorland Rd, Madison, Wisconsin, 53713",43.033699418520534,-89.36669975517842,gun
1900 block E. Mifflin St,"1900 E Mifflin St, Madison, Wisconsin, 53704",43.09308544583464,-89.36043922511475,gun
221 Meadowlark Drive (Kennedy Elementary School),John F Kennedy Elementary School,43.09445007718266,-89.29818999596151,gun
2400 Bl Commercial Ave,"2400 Commercial Ave, Madison, Wisconsin, 53704",43.10690147856068,-89.35241174999999,knife
10 East Mifflin Street,"10 E Mifflin St, Madison, Wisconsin, 53703",43.07572638671585,-89.38503678950669,gun
525 W Johnson,"525 W Johnson St, Madison, Wisconsin, 53703",43.07199848398675,-89.3942595,gun
6600 block Schroeder Rd.,"6600 Schroeder Rd, Madison, Wisconsin, 53711",43.04633979363852,-89.49662799974146,gun
West Towne Mall parking lot,"West Towne Mall, Madison, Wisconsin, 53719",43.059888,-89.5051034350467,knife
4202 East Towne Blvd. (Baymont Inn),"4202 East Towne Blvd, Madison, Wisconsin, 53704",43.12427346188439,-89.31045915909704,gun
"Dempsey Road, Dawes Street","Dempsey Rd, Madison, Wisconsin, 53716",43.08181183013804,-89.31622445552297,gun
5405 Flad Avenue (St. Maria Goretti School),St Maria Goretti School,43.034789994951055,-89.47151002553517,gun
East Washington Avenue,"E Washington Ave, Madison, Wisconsin, 53703",43.09012075391277,-89.36216852956566,gun
Sycamore Park (East Police District),Madison Police-East District,43.085330069392384,-89.28571999163276,gun
400 Blk. Troy Drive,"400 Troy Dr, Madison, Wisconsin, 53704",43.13384732373858,-89.3931412983423,gun
7105 Flower Ln,"7105 Flower Ln, Madison, Wisconsin, 53717",43.067028805413074,-89.50522602233258,gun
1717 Lake Point,"1717 Lake Point Dr, Madison, Wisconsin, 53713",43.048104498990405,-89.34352119317329,gun
Raymond Rd/Muir Field Rd,"Raymond Rd & Muir Field Rd, Madison, Wisconsin, 53719",43.030599341698846,-89.50806570752897,gun
500 block Moorland Road,"500 Moorland Rd, Madison, Wisconsin, 53713",43.035669471460686,-89.37806009605522,knife
Gammon / Elver park,"N Gammon Rd & Park St, Middleton, Wisconsin, 53562",43.090542000000006,-89.5011615,gun
Stoughton Rd,"Stoughton Rd, Madison, Wisconsin, 53716",43.04048948697986,-89.30129357695594,gun
1700 Blk S. Park St.,"1700 S Park St, Madison, Wisconsin, 53713",43.04851200000002,-89.39418629569856,gun
1400 Loreen dr,"1400 Loreen Dr, Madison, Wisconsin, 53711",43.037522057650996,-89.4874949673181,gun
1901 Aberg Avenue (Wiggy's Bar),"1901 Aberg Ave, Madison, Wisconsin, 53704",43.11418946624182,-89.35871072592188,gun
2129 E Johnson st,"2129 E Johnson St, Madison, Wisconsin, 53704",43.09763991061239,-89.35780329958469,gun
