Address,AddrCoor,Latitude,Longitude,WeapType,Date,Month
2217 Cypress Way #4,"2217 Cypress Way, #4, Madison, Wisconsin, 53713",43.04147801194523,-89.39722364383455,gun,2008-01-01T06:21:00.000Z,Jan
500 West Mifflin,"500 W Mifflin St, Madison, Wisconsin, 53703",43.07095851335529,-89.39184946432493,knife,2008-01-19T00:20:00.000Z,Jan
2302 Packers Avenue,"2302 Packers Ave, Madison, Wisconsin, 53704",43.123327575076466,-89.35521560646872,knife,2008-01-19T02:23:00.000Z,Jan
800 block Spaight Street,"800 Spaight St, Madison, Wisconsin, 53703",43.07780142757918,-89.37022739916546,gun,2008-01-24T23:49:00.000Z,Jan
2709 W. Beltline Hwy,"2709 W Beltline Hwy, Madison, Wisconsin, 53713",43.03499556448758,-89.42383969178829,gun,2008-01-30T01:05:00.000Z,Jan
1900 block of Cameron Drive,"1900 Cameron Dr, Madison, Wisconsin, 53711",43.032725638390524,-89.4831406516034,gun,2008-02-02T02:05:00.000Z,Feb
400 Blk of S. Park St,"400 S Park St, Madison, Wisconsin, 53715",43.063092,-89.40092729569857,gun,2008-02-09T02:12:00.000Z,Feb
1709 Monroe St,"1709 Monroe St, Madison, Wisconsin, 53711",43.06598624006013,-89.41546353814427,gun,2008-02-24T19:00:00.000Z,Feb
300 block Garnet Lane,"300 Garnet Ln, Madison, Wisconsin, 53714",43.09365652756466,-89.3059539874803,gun,2008-02-24T22:39:00.000Z,Feb
Turbot Drive & Post Road,"Turbot Dr & Post Rd, Madison, Wisconsin, 53713",43.02672299999999,-89.418231,gun,2008-04-20T21:52:00.000Z,Apr
2900 block Traceway Drive,"2900 Traceway Dr, Madison, Wisconsin, 53713",43.03019375506861,-89.4188262550686,gun,2008-04-24T03:17:00.000Z,Apr
322 West Johnson St. (Angelic Brewery),"322 W Johnson St, Madison, Wisconsin, 53703",43.07425710323741,-89.3907589933922,knife,2008-04-27T00:44:00.000Z,Apr
Bram/Baird Sts.,"Bram St & Baird St, Madison, Wisconsin, 53713",43.04570400000002,-89.390592,gun,2008-05-07T21:37:00.000Z,May
5700 block Raymond Road,"5700 Raymond Rd, Madison, Wisconsin, 53711",43.03203126389737,-89.47697948268619,gun,2008-05-22T00:35:00.000Z,May
400 block North Murray Street,"400 N Murray St, Madison, Wisconsin, 53706",43.07320349999999,-89.39906879569857,knife,2008-05-29T23:06:00.000Z,May
"700 block of State Street (UPDATED MONDAY JUNE 2, 2008)","700 State St, Madison, Wisconsin, 53706",43.07496122237517,-89.39743763792767,knife,2008-06-01T02:00:00.000Z,Jun
1113 Mac Arthur Road,"1113 MacArthur Rd, Madison, Wisconsin, 53714",43.11250327782905,-89.31827418665242,knife,2008-05-31T16:18:00.000Z,May
2000 block Baird Street,"2000 Baird St, Madison, Wisconsin, 53713",43.04432503153471,-89.39070910670944,gun,2008-06-02T20:32:00.000Z,Jun
1100 Catalpa Circle,"1100 Catalpa Cir, Madison, Wisconsin, 53713",43.041857659756175,-89.40190761815535,gun,2008-06-07T22:45:00.000Z,Jun
2100 block Fisher Street (Penn Park),"2100 Fisher St, Madison, Wisconsin, 53713",43.04294760322378,-89.39191918715007,gun,2008-06-11T16:49:00.000Z,Jun
1901 Aberg Ave,"1901 Aberg Ave, Madison, Wisconsin, 53704",43.11418946624182,-89.35871072592188,gun,2008-06-14T01:40:00.000Z,Jun
5200 Williamsburg Way,"5200 Williamsburg Way, Madison, Wisconsin, 53719",43.02393976260745,-89.46900536194569,gun,2008-06-17T15:00:00.000Z,Jun
2538 Fish Hatchery Road (PDQ),"2538 Fish Hatchery Rd, Madison, Wisconsin, 53713",43.036981208985,-89.40521830939419,gun,2008-06-30T23:52:00.000Z,Jun
