Address,AddrCoor,Latitude,Longitude
2217 Cypress Way #4,"2217 Cypress Way, #4, Madison, Wisconsin, 53713",43.04147801194523,-89.39722364383454
500 West Mifflin,"500 W Mifflin St, Madison, Wisconsin, 53703",43.0709585133553,-89.39184946432493
2302 Packers Avenue,"2302 Packers Ave, Madison, Wisconsin, 53704",43.12332757507647,-89.35521560646872
800 block Spaight Street,"800 Spaight St, Madison, Wisconsin, 53703",43.07780142757919,-89.37022739916546
2709 W. Beltline Hwy,"2709 W Beltline Hwy, Madison, Wisconsin, 53713",43.03499556448758,-89.4238396917883
1900 block of Cameron Drive,"1900 Cameron Dr, Madison, Wisconsin, 53711",43.03272563839052,-89.4831406516034
400 Blk of S. Park St,"400 S Park St, Madison, Wisconsin, 53715",43.063092,-89.40092729569857
1709 Monroe St,"1709 Monroe St, Madison, Wisconsin, 53711",43.06598624006013,-89.41546353814427
300 block Garnet Lane,"300 Garnet Ln, Madison, Wisconsin, 53714",43.09365652756466,-89.3059539874803
Turbot Drive & Post Road,"Turbot Dr & Post Rd, Madison, Wisconsin, 53713",43.02672299999999,-89.418231
2900 block Traceway Drive,"2900 Traceway Dr, Madison, Wisconsin, 53713",43.03019375506861,-89.4188262550686
322 West Johnson St. (Angelic Brewery),"322 W Johnson St, Madison, Wisconsin, 53703",43.07425710323741,-89.39075899339221
Bram/Baird Sts.,"Bram St & Baird St, Madison, Wisconsin, 53713",43.045704000000015,-89.390592
5700 block Raymond Road,"5700 Raymond Rd, Madison, Wisconsin, 53711",43.032031263897366,-89.4769794826862
400 block North Murray Street,"400 N Murray St, Madison, Wisconsin, 53706",43.07320349999999,-89.39906879569857
"700 block of State Street (UPDATED MONDAY JUNE 2, 2008)","700 State St, Madison, Wisconsin, 53706",43.07496122237517,-89.39743763792767
1113 Mac Arthur Road,"1113 MacArthur Rd, Madison, Wisconsin, 53714",43.11250327782905,-89.31827418665242
2000 block Baird Street,"2000 Baird St, Madison, Wisconsin, 53713",43.04432503153471,-89.39070910670944
1100 Catalpa Circle,"1100 Catalpa Cir, Madison, Wisconsin, 53713",43.041857659756175,-89.40190761815535
2100 block Fisher Street (Penn Park),"2100 Fisher St, Madison, Wisconsin, 53713",43.04294760322378,-89.39191918715007
1901 Aberg Ave,"1901 Aberg Ave, Madison, Wisconsin, 53704",43.11418946624182,-89.35871072592187
5200 Williamsburg Way,"5200 Williamsburg Way, Madison, Wisconsin, 53719",43.023939762607455,-89.46900536194569
2538 Fish Hatchery Road (PDQ),"2538 Fish Hatchery Rd, Madison, Wisconsin, 53713",43.03698120898499,-89.40521830939419
1500 block Troy Drive,"1500 Troy Dr, Madison, Wisconsin, 53704",43.13444460782504,-89.37080289901388
3000 block Worthington Ave.,"3000 Worthington Ave, Madison, Wisconsin, 53714",43.102655237339555,-89.33988136883299
452 State St (Peace Park),"452 State St, Madison, Wisconsin, 53703",43.07483149711446,-89.39266761697164
319 W. Gorham,"319 W Gorham St, Madison, Wisconsin, 53703",43.07440968469051,-89.39221343738835
400 block State Street,"400 State St, Madison, Wisconsin, 53703",43.07487121448731,-89.39180814588359
293 N. Thompson Road,"293 N Thompson Dr, Madison, Wisconsin, 53714",43.10269851903903,-89.29868783196616
1100 Block Catalpa Circle,"1100 Catalpa Cir, Madison, Wisconsin, 53713",43.041857659756175,-89.40190761815535
2700 block of Atwood Avenue,"2700 Atwood Ave, Madison, Wisconsin, 53704",43.093981066489626,-89.34470365212398
1900 block Beld Street,"1900 Beld St, Madison, Wisconsin, 53713",43.045701157429434,-89.3931759972447
Wagon Trail & South Thompson Drive,"Wagon Trl & S Thompson Dr, Madison, Wisconsin, 53716",43.066835999999995,-89.2829385
1965 Atwood Avenue Chase Bank ATM machine,Chase,43.09196992613571,-89.35546008107767
