Address,AddrCoor,Latitude,Longitude
800 Brandie Road,"800 Brandie Rd, Madison, Wisconsin, 53714",43.10865548362,-89.30733598138214
2400 block Allied Drive,"2400 Allied Dr, Madison, Wisconsin, 53711",43.02674642397273,-89.45983585683669
4710 East Towne Blvd. (Applebee's Neighborhod Grill & Bar),Applebee's,43.12919000000005,-89.30436999999995
1745 Parkside Drive (Old Country Buffet),"1745 Parkside Dr, Madison, Wisconsin, 53704",43.12244522843204,-89.31557565410631
1100 Bl Moorland Rd,"1100 Moorland Rd, Madison, Wisconsin, 53713",43.03369941852054,-89.36669975517842
1900 block E. Mifflin St,"1900 E Mifflin St, Madison, Wisconsin, 53704",43.093085445834625,-89.36043922511475
221 Meadowlark Drive (Kennedy Elementary School),John F Kennedy Elementary School,43.094450077182664,-89.29818999596151
2400 Bl Commercial Ave,"2400 Commercial Ave, Madison, Wisconsin, 53704",43.10690147856067,-89.35241174999999
10 East Mifflin Street,"10 E Mifflin St, Madison, Wisconsin, 53703",43.075726386715864,-89.38503678950669
525 W Johnson,"525 W Johnson St, Madison, Wisconsin, 53703",43.071998483986754,-89.3942595
6600 block Schroeder Rd.,"6600 Schroeder Rd, Madison, Wisconsin, 53711",43.04633979363852,-89.49662799974145
West Towne Mall parking lot,"West Towne Mall, Madison, Wisconsin, 53719",43.059888,-89.50510343504672
4202 East Towne Blvd. (Baymont Inn),"4202 East Towne Blvd, Madison, Wisconsin, 53704",43.1242734618844,-89.31045915909704
"Dempsey Road, Dawes Street","Dempsey Rd, Madison, Wisconsin, 53716",43.08181183013804,-89.31622445552298
5405 Flad Avenue (St. Maria Goretti School),St Maria Goretti School,43.034789994951055,-89.47151002553517
East Washington Avenue,"E Washington Ave, Madison, Wisconsin, 53703",43.09012075391277,-89.36216852956565
Sycamore Park (East Police District),Madison Police-East District,43.085330069392384,-89.28571999163277
400 Blk. Troy Drive,"400 Troy Dr, Madison, Wisconsin, 53704",43.13384732373857,-89.3931412983423
7105 Flower Ln,"7105 Flower Ln, Madison, Wisconsin, 53717",43.06702880541307,-89.50522602233258
1717 Lake Point,"1717 Lake Point Dr, Madison, Wisconsin, 53713",43.048104498990405,-89.34352119317329
Raymond Rd/Muir Field Rd,"Raymond Rd & Muir Field Rd, Madison, Wisconsin, 53719",43.030599341698846,-89.50806570752897
500 block Moorland Road,"500 Moorland Rd, Madison, Wisconsin, 53713",43.03566947146069,-89.37806009605522
Gammon / Elver park,"N Gammon Rd & Park St, Middleton, Wisconsin, 53562",43.090542000000006,-89.5011615
Stoughton Rd,"Stoughton Rd, Madison, Wisconsin, 53716",43.04048948697986,-89.30129357695596
1700 Blk S. Park St.,"1700 S Park St, Madison, Wisconsin, 53713",43.04851200000002,-89.39418629569856
1400 Loreen dr,"1400 Loreen Dr, Madison, Wisconsin, 53711",43.037522057650996,-89.48749496731809
1901 Aberg Avenue (Wiggy's Bar),"1901 Aberg Ave, Madison, Wisconsin, 53704",43.11418946624182,-89.35871072592187
2129 E Johnson st,"2129 E Johnson St, Madison, Wisconsin, 53704",43.097639910612386,-89.3578032995847
East Towne Mall,East Towne Mall,43.125440000000026,-89.30646999999999
Todd Drive @ Post Road,"Todd Dr & Post Rd, Madison, Wisconsin, 53713",43.02690300000001,-89.426088
2000 block Tennyson Lane,"2000 Tennyson Ln, Madison, Wisconsin, 53704",43.134764413672045,-89.35662291331259
50 S Gammon rd,"50 S Gammon Rd, Madison, Wisconsin, 53717",43.06664868610415,-89.50270893680957
5750 Raymond Rd,"5750 Raymond Rd, Madison, Wisconsin, 53711",43.031985461047675,-89.47940849999999
5750 Raymond rd,"5750 Raymond Rd, Madison, Wisconsin, 53711",43.031985461047675,-89.47940849999999
600 block Troy Drive,"600 Troy Dr, Madison, Wisconsin, 53704",43.13384296881418,-89.38839555942164
6700 block Schroeder Road,"6700 Schroeder Rd, Madison, Wisconsin, 53711",43.046331401027025,-89.49789674864265
