Address,AddrCoor,Latitude,Longitude,WeapType
1800 Block Helene Pkwy,"1800 Helene Pkwy, Madison, Wisconsin, 53711",43.03498170430142,-89.45290679569857,gun
3100 block Worthington Ave,"3100 Worthington Ave, Madison, Wisconsin, 53714",43.10264176288882,-89.33781148188187,knife
13 Collins Ct.,"13 Collins Ct, Madison, Wisconsin, 53716",43.047413057683286,-89.30486692628456,gun
1800 Fordem Ave,"1800 Fordem Ave, Madison, Wisconsin, 53704",43.09557538777377,-89.36347474799055,gun
2300 block Columbus Lane,"2300 Columbus Ln, Madison, Wisconsin, 53704",43.12905302632167,-89.3074729034467,gun
700 block S Gammon Rd,"700 N Gammon Rd, Madison, Wisconsin, 53717",43.076677458503696,-89.50249562016356,gun
4600 block Verona Rd.,"4600 Verona Rd, Madison, Wisconsin, 53711",43.035448275185814,-89.45542311950085,gun
400 block W. Gilman St.,"400 W Gilman St, Madison, Wisconsin, 53703",43.074827419289825,-89.39347833077154,gun
1100 block Moorland Rd.,"1100 Moorland Rd, Madison, Wisconsin, 53713",43.033699418520534,-89.36669975517842,gun
5602 Tokay Blvd,"5602 Tokay Blvd, Madison, Wisconsin, 53719",43.053561511541204,-89.47545244463038,
5800 block Russett Rd.,"5800 Russett Rd, Madison, Wisconsin, 53711",43.03283624545014,-89.48098283910532,gun
Trailsway,"Trailsway, Madison, Wisconsin, 53704",43.12611900000002,-89.36595401726723,gun
3521 Anderson St.,"3521 Anderson St, Madison, Wisconsin, 53704",43.12032751516325,-89.32721278990391,gun
4700 block Crescent Rd.,"4700 Crescent Rd, Madison, Wisconsin, 53711",43.02493654423376,-89.4586251697517,gun
66 West Towne Mall,"66 West Towne Mall, Madison, Wisconsin, 53719",43.05983205867437,-89.50642839537315,gun
6800 block Chelsea St.,"6800 Chelsea St, Madison, Wisconsin, 53719",43.01691195544582,-89.50000657616123,gun
7200 block Longmeadow Dr.,"7200 Longmeadow Rd, Madison, Wisconsin, 53717",43.084050307877426,-89.50706733301216,gun
800 block Brandie Rd.,"800 Brandie Rd, Madison, Wisconsin, 53714",43.108655483620005,-89.30733598138214,gun
1000 block Gammon Lane,"1000 Gammon Ln, Madison, Wisconsin, 53719",43.04387538256096,-89.50372483352903,gun
4600 block Hayes Road,"4600 Hayes Rd, Madison, Wisconsin, 53704",43.142520968174566,-89.3055633241719,gun
4333 Britta Dr,"4333 Britta Dr, Madison, Wisconsin, 53711",43.03458954674261,-89.45106202553522,gun
1500 block Langley Lane,"1500 Langley Ln, Madison, Wisconsin, 53718",43.07760188395942,-89.27595899124017,gun
317 N Bassett St,"317 N Bassett St, Madison, Wisconsin, 53703",43.072484541670256,-89.39368249480385,gun
1300 block Whenona Dr.,"1300 Whenona Dr, Madison, Wisconsin, 53711",43.040073539088056,-89.44872408586157,gun
6800 Block of Chelsea Lane,"6800 Chelsea St, Madison, Wisconsin, 53719",43.01691195544582,-89.50000657616123,gun
1800 S Park St,"1800 S Park St, Madison, Wisconsin, 53713",43.046999444630394,-89.39417907097885,gun
7100 Blk of Carnwood Rd,"7100 Carnwood Rd, Madison, Wisconsin, 53719",43.01973551094465,-89.50493781884363,gun
107 W. Village Green Lane,"107 Village Green Ln W, Madison, Wisconsin, 53704",43.142289408856676,-89.30518484389276,gun
7200 block of Tempe Dr,"7200 Tempe Dr, Madison, Wisconsin, 53719",43.016831315288194,-89.50807735552515,gun
1800 blk Golden Oak Lane,"1800 Golden Oak Ln, Madison, Wisconsin, 53711",43.03376302987228,-89.4865319617722,gun
2100 Tawhee Dr,"2100 Tawhee Dr, Madison, Wisconsin, 53711",43.03067997635125,-89.46976785107746,gun
Park Ridge Dr/Mount Vernon Ct,"Park Ridge Dr & Mount Vernon Ct, Madison, Wisconsin, 53719",43.04308500000001,-89.50144949999998,gun
900 block Jana Lane,"900 Jana Ln, Madison, Wisconsin, 53704",43.11017429569858,-89.29940729569857,gun
Hammersley Rd.,"Hammersley Rd, Madison, Wisconsin, 53711",43.03915103620593,-89.47708752800773,gun
