Address,AddrCoor,Latitude,Longitude,WeapType,Date,Month
10 block Mount Vernon Ct,"10 Mount Vernon Ct, Madison, Wisconsin, 53719",43.04269327477061,-89.50205675716991,gun,2017-01-01T02:40:00.000Z,Jan
900 Harrington Dr,"900 Harrington Dr, Madison, Wisconsin, 53718",43.08661801644802,-89.2577437411933,knife,2017-01-01T19:13:00.000Z,Jan
500 W Johnson,"500 W Johnson St, Madison, Wisconsin, 53715",43.07203608700185,-89.40216732903386,gun,2017-01-02T19:52:00.000Z,Jan
East Towne Mall,East Towne Mall,43.12544000000002,-89.30646999999998,knife,2017-01-02T19:15:00.000Z,Jan
2300 Upham St.(block),"2300 Upham St, Madison, Wisconsin, 53704",43.10008752895054,-89.35634830481482,gun,2017-01-08T05:07:00.000Z,Jan
6600 block Radford Dr,"6600 Radford Dr, Madison, Wisconsin, 53718",43.09760342160817,-89.26578151381563,gun,2017-01-09T02:37:00.000Z,Jan
4500 block Bonner Lane,"4500 Bonner Ln, Madison, Wisconsin, 53704",43.14220725426954,-89.38656364326168,knife,2017-01-08T19:43:00.000Z,Jan
2222 E. Washington Ave.,"2222 E Washington Ave, Madison, Wisconsin, 53704",43.09674201840785,-89.35346780154566,gun,2017-01-13T08:46:00.000Z,Jan
6700 block Schroeder Rd.,"6700 Schroeder Rd, Madison, Wisconsin, 53711",43.04633140102703,-89.49789674864266,gun,2017-01-13T14:00:00.000Z,Jan
2800 block N. Sherman Ave.,"2800 N Sherman Ave, Madison, Wisconsin, 53704",43.12632348854879,-89.36364686520807,gun,2017-01-14T19:40:00.000Z,Jan
900 block Blaine Dr.,"900 Blaine Dr, Madison, Wisconsin, 53704",43.13521496801997,-89.38311944531773,gun,2017-01-13T22:00:00.000Z,Jan
2300 block Brentwood Parkway,"2300 Brentwood Pkwy, Madison, Wisconsin, 53704",43.123439969450786,-89.36734296425689,gun,2017-01-12T05:30:00.000Z,Jan
West Towne Mall,West Towne Mall,43.060160000000046,-89.50782999999996,gun,2017-01-17T20:24:00.000Z,Jan
2100 block Pike Dr,"2100 Pike Dr, Madison, Wisconsin, 53713",43.02950454731968,-89.41691935967388,knife,2017-01-18T23:46:00.000Z,Jan
3500 block Milwaukee St.,"3500 Milwaukee St, Madison, Wisconsin, 53714",43.09827946750924,-89.32763053249077,knife,2017-01-18T21:30:00.000Z,Jan
400 Block W. Gilman St,"400 W Gilman St, Madison, Wisconsin, 53703",43.074827419289825,-89.39347833077154,gun,2017-01-22T02:53:00.000Z,Jan
1000 East Johnson Street,"1000 E Johnson St, Madison, Wisconsin, 53703",43.08585750458764,-89.3742765446938,gun,2017-01-23T02:00:00.000Z,Jan
7035 Littlemore Dr.,"7035 Littlemore Dr, Madison, Wisconsin, 53718",43.098171422260066,-89.25412727274389,gun,2017-01-22T12:42:00.000Z,Jan
3100 block Ridgeway Ave.,"3100 Ridgeway Ave, Madison, Wisconsin, 53704",43.10907892460732,-89.3379140520962,gun,2017-01-26T19:45:00.000Z,Jan
Northport Dr.,"Northport Dr, Madison, Wisconsin, 53704",43.15234564234142,-89.40347913825167,gun,2017-01-27T10:06:00.000Z,Jan
2201 S Park St,"2201 S Park St, Madison, Wisconsin, 53713",43.041474,-89.39391385688755,gun,2017-01-29T19:59:00.000Z,Jan
6700 Schroeder Road,"6700 Schroeder Rd, Madison, Wisconsin, 53711",43.04633140102703,-89.49789674864266,gun,2017-01-29T17:32:00.000Z,Jan
Sherman Terrace,"Sherman Terrace, Madison, Wisconsin",43.096730000000036,-89.36774999999994,knife,2017-01-28T22:51:00.000Z,Jan
N. Fish Hatchery Rd.,"Fish Hatchery Rd, Madison, Wisconsin, 53715",43.053228043119795,-89.39903369363628,gun,2017-01-29T20:07:00.000Z,Jan
1900 block E. Washington Ave.,"1900 E Washington Ave, Madison, Wisconsin, 53704",43.09242417182166,-89.35925365739494,gun,2017-02-01T05:54:00.000Z,Feb
2164 W Beltline Hwy,"2164 W Beltline Hwy, Madison, Wisconsin, 53713",43.035488488313646,-89.41578907660568,gun,2017-02-02T19:30:00.000Z,Feb
6200 block Jacobs Way,"6200 Jacobs Way, Madison, Wisconsin, 53711",43.03676768691877,-89.48871280802034,gun,2017-02-04T12:11:00.000Z,Feb
2100 block Leland Dr.,"2100 Leland Dr, Madison, Wisconsin, 53711",43.03078011063966,-89.47980918382838,gun,2017-02-03T15:12:00.000Z,Feb
2800 block Ashford Ln,"2800 Ashford Ln, Madison, Wisconsin, 53713",43.03377859779032,-89.42488380713093,gun,2017-02-08T02:40:00.000Z,Feb
2400 block W. Broadway,"2400 W Broadway, Madison, Wisconsin, 53713",43.046141907871075,-89.35215122274788,gun,2017-02-09T23:00:00.000Z,Feb
2200 Cypress Way,"2200 Cypress Way, Madison, Wisconsin, 53713",43.04165543028294,-89.39730032198726,,2017-02-10T20:30:00.000Z,Feb
6700 Jacobs Way,"6700 Jacobs Way, Madison, Wisconsin, 53711",43.03813239055027,-89.49685711090038,gun,2017-02-11T03:45:00.000Z,Feb
3100 block Churchill Dr,"3100 Churchill Dr, Madison, Wisconsin, 53713",43.029901891592864,-89.4222778731584,gun,2017-02-13T23:09:00.000Z,Feb
Parkwood Lane,"Parkwood Ln, Madison, Wisconsin, 53714",43.10483138549293,-89.31122926017773,gun,2017-02-15T03:55:00.000Z,Feb
6700 Block Jacobs Way,"6700 Jacobs Way, Madison, Wisconsin, 53711",43.03813239055027,-89.49685711090038,,2017-02-22T19:32:00.000Z,Feb
N. Lake St.,"N Lake St, Madison, Wisconsin, 53715",43.07287481088817,-89.3974377582288,knife,2017-02-22T13:30:00.000Z,Feb
3000 block Darbo Dr.,"3000 Darbo Dr, Madison, Wisconsin, 53714",43.1035970669437,-89.34085016418408,gun,2017-02-28T17:15:00.000Z,Feb
2813 N. Sherman Ave.,"2813 N Sherman Ave, Madison, Wisconsin, 53704",43.127718260856625,-89.36349900019835,gun,2017-03-07T15:55:00.000Z,Mar
5700 block Barton Rd.,"5700 Barton Rd, Madison, Wisconsin, 53711",43.03594883007417,-89.47782263622149,gun,2017-03-09T16:38:00.000Z,Mar
66 West Towne Mall,"66 West Towne Mall, Madison, Wisconsin, 53719",43.05983205867437,-89.50642839537315,gun,2017-03-10T18:35:00.000Z,Mar
800 W. Olin Ave.,"800 W Olin Ave, Madison, Wisconsin, 53715",43.054117676361464,-89.39531760615627,gun,2017-03-12T08:50:00.000Z,Mar
400 block Starling Ln,"400 Starling Ln, Madison, Wisconsin, 53704",43.13561429897818,-89.35093434895397,gun,2017-03-16T21:29:00.000Z,Mar
2000 block of Frisch Rd.,"2000 Frisch Rd, Madison, Wisconsin, 53711",43.03171300802415,-89.49364357215117,gun,2017-03-18T19:35:00.000Z,Mar
7500 block of Mid Town Rd,"7500 Mid Town Rd, Madison, Wisconsin, 53719",43.031663197010715,-89.51498873116445,gun,2017-03-21T22:40:00.000Z,Mar
Milwaukee St.,"Milwaukee St, Madison, Wisconsin, 53718",43.0996820956624,-89.2629992419302,gun,2017-03-21T16:27:00.000Z,Mar
10 Block of Rustic Woods Ct,"10 Rustic Woods Ct, Madison, Wisconsin, 53716",43.07048646768412,-89.28107192200933,,2017-03-25T20:14:00.000Z,Mar
201 W. Mifflin St.,"201 W Mifflin St, Madison, Wisconsin, 53703",43.07374140048485,-89.38774154244345,knife,2017-03-27T09:43:00.000Z,Mar
6600 block Berkshire Rd.,"6600 Berkshire Rd, Madison, Wisconsin, 53711",43.04574640027936,-89.49396790027934,gun,2017-04-01T11:00:00.000Z,Apr
900 block Jana Lane,"900 Jana Ln, Madison, Wisconsin, 53704",43.11017429569858,-89.29940729569857,gun,2017-03-31T16:30:00.000Z,Mar
1903 S. Park St.,"1903 S Park St, Madison, Wisconsin, 53713",43.04525070430143,-89.39394120430143,gun,2017-04-03T14:59:00.000Z,Apr
2300 block Allied Dr.,"2300 Allied Dr, Madison, Wisconsin, 53711",43.02889695353907,-89.45950695342123,gun,2017-04-03T21:21:00.000Z,Apr
3301 City View Drive,"3301 City View Dr, Madison, Wisconsin, 53718",43.138257326418,-89.28862345902843,gun,2017-04-07T23:47:00.000Z,Apr
2000 Block of Westbrook Ln,"2000 Westbrook Ln, Madison, Wisconsin, 53711",43.03173270430143,-89.49088679569857,gun,2017-04-08T02:26:00.000Z,Apr
3500 block Albert Ct.,"3500 Albert Ct, Madison, Wisconsin, 53714",43.11422905783071,-89.32711139531452,gun,2017-04-10T06:27:00.000Z,Apr
2900 Traceway Dr.,"2900 Traceway Dr, Madison, Wisconsin, 53713",43.03019375506861,-89.4188262550686,knife,2017-04-15T20:04:00.000Z,Apr
Raymond Rd.,"Raymond Rd, Madison, Wisconsin, 53719",43.02739239906175,-89.51478936197029,gun,2017-04-15T15:00:00.000Z,Apr
100 block State Street,"100 State St, Madison, Wisconsin, 53703",43.07473349321933,-89.387019,gun,2017-04-20T01:58:00.000Z,Apr
W. Gilman St.,"W Gilman St, Madison, Wisconsin, 53703",43.075635319665054,-89.39224381046057,knife,2017-04-19T08:33:00.000Z,Apr
1300 Forster Dr,"1300 Forster Dr, Madison, Wisconsin, 53704",43.1311922224817,-89.37581660117561,gun,2017-04-21T14:50:00.000Z,Apr
Horned Owl Court,"Horned Owl Ct, Madison, Wisconsin, 53718",43.03729799999999,-89.29440224999998,gun,2017-04-22T17:51:00.000Z,Apr
2900 block Turbot Dr.,"2900 Turbot Dr, Madison, Wisconsin, 53713",43.02967457633941,-89.41789619937174,gun,2017-04-24T23:47:00.000Z,Apr
5800 block Russett Rd.,"5800 Russett Rd, Madison, Wisconsin, 53711",43.03283624545014,-89.48098283910532,gun,2017-04-24T20:26:00.000Z,Apr
4501 Verona Rd.,"4501 Verona Rd, Madison, Wisconsin, 53711",43.03564277710789,-89.45355634260505,gun,2017-04-24T20:45:00.000Z,Apr
500 block Northport Dr.,"500 Northport Dr, Madison, Wisconsin, 53704",43.14078500988533,-89.39029684561315,gun,2017-04-24T21:47:00.000Z,Apr
3100 block Muir Field Rd.,"3100 Muir Field Rd, Madison, Wisconsin, 53719",43.018209093678635,-89.50868971896412,gun,2017-04-24T23:54:00.000Z,Apr
1250 McKenna Blvd.,"1250 McKenna Blvd, Madison, Wisconsin, 53719",43.03899586283336,-89.50247631943671,gun,2017-04-24T21:00:00.000Z,Apr
Great Grey Drive / Owl Creek Dr,"Great Gray Dr & Owl Creek Dr, Madison, Wisconsin, 53718",43.03652400000002,-89.29162799999997,gun,2017-04-26T22:23:00.000Z,Apr
Brandie Rd.,"Brandie Rd, Madison, Wisconsin, 53714",43.10863790125169,-89.30727932685532,gun,2017-04-27T17:13:00.000Z,Apr
1400 block Spaight St.,"1400 Spaight St, Madison, Wisconsin, 53703",43.084545423330525,-89.35903342062551,gun,2017-05-01T01:05:00.000Z,May
800 Vera Ct,"800 Vera Ct, Madison, Wisconsin, 53704",43.13482081005561,-89.3843329134093,gun,2017-05-01T20:30:00.000Z,May
4501 Verona Rd,"4501 Verona Rd, Madison, Wisconsin, 53711",43.03564277710789,-89.45355634260505,gun,2017-05-01T22:01:00.000Z,May
2000 block Westbrook Lane,"2000 Westbrook Ln, Madison, Wisconsin, 53711",43.03173270430143,-89.49088679569857,gun,2017-05-03T03:00:00.000Z,May
429 State Street,"429 State St, Madison, Wisconsin, 53703",43.07477249235397,-89.39286033527613,knife,2017-05-03T21:02:00.000Z,May
1700 block Thierer Rd.,"1700 Thierer Rd, Madison, Wisconsin, 53704",43.12129931752183,-89.31123691604309,knife,2017-05-03T16:20:00.000Z,May
City Wide,"Madison, Wisconsin",43.07313000000005,-89.38643999999994,gun,2017-05-04T21:07:00.000Z,May
4100 Block Melody Lane,"4100 Melody Ln, Madison, Wisconsin, 53704",43.13073742041916,-89.31347579059343,gun,2017-05-05T21:32:00.000Z,May
Ruskin St.,"Ruskin St, Madison, Wisconsin, 53704",43.11996321649245,-89.36169795262367,gun,2017-05-09T14:50:00.000Z,May
702 Pflaum Rd.,"702 Pflaum Rd, Madison, Wisconsin, 53716",43.06208650894319,-89.31984202553522,gun,2017-05-10T13:31:00.000Z,May
400 W. Gilman St,"400 W Gilman St, Madison, Wisconsin, 53703",43.074827419289825,-89.39347833077154,,2017-05-13T02:44:00.000Z,May
802 Atlas Ave,"802 Atlas Ave, Madison, Wisconsin, 53714",43.08532453895233,-89.30899925454418,gun,2017-05-13T02:10:00.000Z,May
Beld St and Bram St,"Beld St & Bram St, Madison, Wisconsin, 53713",43.04573999999999,-89.3930985,gun,2017-05-15T16:56:00.000Z,May
N. Wickham Ct.,"N Wickham Ct, Madison, Wisconsin, 53711",43.03021965307933,-89.49838827067836,gun,2017-05-16T10:26:00.000Z,May
3500 E Washington Ave,"3500 E Washington Ave, Madison, Wisconsin, 53704",43.11453507689412,-89.32851345602734,gun,2017-05-16T19:39:00.000Z,May
6800 block East Pass,"6800 East Pass, Madison, Wisconsin, 53719",43.012683442318135,-89.5001691057791,knife,2017-05-17T12:18:00.000Z,May
