Address,AddrCoor,Latitude,Longitude,WeapType
117 State St  -,"117 State St, Madison, Wisconsin, 53703",43.07468653621103,-89.38651949999998,gun
2900 Blk of Maple Grove Dr,"2900 Maple Grove Dr, Madison, Wisconsin, 53719",43.02200422642536,-89.49882081529161,gun
5300 Blk of High Crossing Blvd,"5300 High Crossing Blvd, Madison, Wisconsin, 53718",43.13887707422162,-89.28939975668709,gun
800 E. Mifflin Street,"800 E Mifflin St, Madison, Wisconsin, 53703",43.08198017721449,-89.37623425482029,gun
800 Williamson Street,"800 Williamson St, Madison, Wisconsin, 53703",43.078451457412335,-89.37122515072984,knife
433 S. Gammon Rd. (Denny's restaurant),Denny's,43.058260000000075,-89.50272996220241,gun
700 block S. Gammon Road (parking lot outside New Town Pub),"700 S Gammon Rd, Madison, Wisconsin, 53719",43.049438308355896,-89.50326958540556,knife
701 E. Washington Ave. (High Noon Saloon),"701 E Washington Ave, Madison, Wisconsin, 53703",43.07997981568485,-89.3764616093256,
322 W. Johnson St. (Logan's Madtown restaurant & bar),"322 W Johnson St, Madison, Wisconsin, 53703",43.07425710323741,-89.3907589933922,gun
McDivitt Rd.,"McDivitt Rd, Madison, Wisconsin, 53713",43.03335572699279,-89.42251925940693,knife
633 S. Gammon Rd. (Wendy's restaurant),Wendy's,43.05104005107051,-89.5030099255587,gun
7100 block Flower Lane,"7100 Flower Ln, Madison, Wisconsin, 53717",43.067435488151006,-89.50457848466364,gun
500 block Moorland Rd.,"500 Moorland Rd, Madison, Wisconsin, 53713",43.035669471460686,-89.37806009605522,gun
3300 block Wells Ave,"3300 Wells Ave, Madison, Wisconsin, 53714",43.100798632196586,-89.33319170722169,gun
Schroeder Rd.,"Schroeder Rd, Madison, Wisconsin, 53711",43.04630577951297,-89.48916080320524,
N. Thompson Dr.,"N Thompson Dr, Madison, Wisconsin, 53704",43.11359631911022,-89.29610241779804,gun
100 blk of N. 1st Street,"100 N 1st St, Madison, Wisconsin, 53704",43.09297386411172,-89.36054716989422,gun
1600 block Capital Ave.,"1600 Capital Ave, Madison, Wisconsin, 53705",43.08257394035951,-89.48225582676855,gun
1300 block Fish Hatchery Rd.,"1300 Fish Hatchery Rd, Madison, Wisconsin, 53715",43.053010369419134,-89.39909743536785,gun
Crescent Dr.,"Crescent Rd, Madison, Wisconsin, 53711",43.02608138136978,-89.45383959845434,gun
200 Blk Langdon,"200 Langdon St, Madison, Wisconsin, 53703",43.07662621706372,-89.39271728132016,knife
1400 block Regent St.,"1400 Regent St, Madison, Wisconsin, 53711",43.0678594285567,-89.409177,knife
Gammon Rd and Watts Rd,"S Gammon Rd & Watts Rd, Madison, Wisconsin, 53719",43.050159,-89.503209,gun
6900 block Park Edge Dr.,"6900 Park Edge Dr, Madison, Wisconsin, 53719",43.041004697575204,-89.50197225259802,gun
301 S. Park St,"301 S Park St, Madison, Wisconsin, 53715",43.063619705031606,-89.40066437795072,knife
4517 Sycamore Ave. (Sycamore Park),"4517 Sycamore Ave, Madison, Wisconsin, 53704",43.114015221035174,-89.30534365428089,gun
Fish Hatchery Rd/Hwy 12,"Fish Hatchery Rd & US-12 E, Madison, Wisconsin, 53713",43.03462520553233,-89.4066948715021,gun
100 block N. Walbridge Ave. @ Cherrywood Court,"N Walbridge Ave & Cherrywood Ct, Madison, Wisconsin, 53714",43.104528,-89.3100195,knife
1800 block Reetz Rd.,"1800 Reetz Rd, Madison, Wisconsin, 53711",43.034000868043776,-89.46154173601948,gun
4300 block Nakoosa Trail,"4300 Nakoosa Trl, Madison, Wisconsin, 53714",43.11024199049336,-89.30990208114159,gun
3200 Ridgeway Ave.,"3200 Ridgeway Ave, Madison, Wisconsin, 53704",43.10984408674123,-89.33686451935837,knife
Heritage Circle,"Heritage Cir, Madison, Wisconsin, 53711",43.03973353601778,-89.45515597046999,knife
1100 block Moorland Rd.,"1100 Moorland Rd, Madison, Wisconsin, 53713",43.03369941852053,-89.36669975517842,gun
3000 blk Webb Avenue,"3000 Webb Ave, Madison, Wisconsin, 53714",43.10520543029212,-89.34025279661734,gun
3000 Darbo Dr,"3000 Darbo Dr, Madison, Wisconsin, 53714",43.1035970669437,-89.34085016418408,gun
500 block E. Wilson St.,"500 W Wilson St, Madison, Wisconsin, 53703",43.067959471170425,-89.38787569717182,knife
Various,"Madison, Wisconsin",43.07313000000005,-89.38643999999994,gun
