Address,AddrCoor,Latitude,Longitude,WeapType
5700 Blk of Russett Rd,"5700 Russett Rd, Madison, Wisconsin, 53711",43.033071830052755,-89.4770388931459,gun
3700 Blk of E. Karstens Dr,"3700 E Karstens Dr, Madison, Wisconsin, 53704",43.13381729569856,-89.38598729569857,knife
5800 Russett Rd.,"5800 Russett Rd, Madison, Wisconsin, 53711",43.03283624545014,-89.48098283910532,gun
300 Kent Ln,"300 Kent Ln, Madison, Wisconsin, 53713",43.03349939890517,-89.38058868339407,gun
E. Washington Ave.,"E Washington Ave, Madison, Wisconsin, 53703",43.09012075391277,-89.36216852956566,gun
100 block W. Washington Ave.,"100 E Washington Ave, Madison, Wisconsin, 53703",43.075536181331074,-89.38302468854619,knife
6700 Blk of Schroeder Road,"6700 Schroeder Rd, Madison, Wisconsin, 53711",43.04633140102703,-89.49789674864266,gun
1200 block MacArthur Rd.,"1200 MacArthur Rd, Madison, Wisconsin, 53714",43.11240824134509,-89.31931313992426,gun
Pinchot Ave.,"Pinchot Ave, Madison, Wisconsin, 53716",43.08000300000001,-89.31473525635475,gun
Monona Dr.,"Monona Dr, Madison, Wisconsin, 53714",43.08565873647869,-89.3258490314154,gun
3800 block Nakoma Rd.,"3800 Nakoma Rd, Madison, Wisconsin, 53711",43.04801152406494,-89.43925966053148,gun
1759 Thierer Rd.,"1759 Thierer Rd, Madison, Wisconsin, 53704",43.12308023264429,-89.31351161148996,gun
3500 block of Ridgeway Ave,"3500 Ridgeway Ave, Madison, Wisconsin, 53704",43.11576996737872,-89.32838608442744,gun
4301 Lien Rd.,"4301 Lien Rd, Madison, Wisconsin, 53704",43.12097850331915,-89.30671734387447,gun
2453 East Springs Dr.,"2453 E Springs Dr, Madison, Wisconsin, 53704",43.13115475135867,-89.29668812450191,knife
600 block Vera Ct.,"600 Vera Ct, Madison, Wisconsin, 53704",43.13627551652986,-89.38596665654612,gun
600 block E. Johnson St.,"600 W Johnson St, Madison, Wisconsin, 53715",43.07198350547433,-89.39878166115469,gun
