Address,AddrCoor,Latitude,Longitude,WeapType
6205 Hammersley Road,"6205 Hammersley Rd, Madison, Wisconsin, 53711",43.039069513994036,-89.489142,gun
2121 East Spring Dr,"2121 E Springs Dr, Madison, Wisconsin, 53704",43.1269427404355,-89.29375040997816,gun
400 block W. Johnson Street,"400 E Johnson St, Madison, Wisconsin, 53703",43.0796583567774,-89.38316291664646,gun
400 block W. Johnson Street,"400 E Johnson St, Madison, Wisconsin, 53703",43.0796583567774,-89.38316291664646,gun
1000 block Regent Street,"1000 Regent St, Madison, Wisconsin, 53715",43.067769428441544,-89.40257324999997,gun
702 Pflaum Road (La Follette High School),Lafollette High School,43.06350002726601,-89.3184800617453,knife
400 block W. Gilman St.,"400 W Gilman St, Madison, Wisconsin, 53703",43.074827419289825,-89.39347833077154,knife
100 blk State  St,"100 State St, Madison, Wisconsin, 53703",43.07473349321933,-89.387019,knife
Ohio Ave. @ St. Paul Ave.,"Ohio Ave & St Paul Ave, Madison, Wisconsin, 53704",43.09446600000001,-89.34742800000001,gun
900 block Spaight Street,"900 Spaight St, Madison, Wisconsin, 53703",43.0782632469697,-89.36795373439881,gun
8102 Excelsior Dr. (Baymont Inn),"8102 Excelsior Dr, Madison, Wisconsin, 53717",43.078950744099515,-89.52427152279486,gun
3000 Block of Harriman La,"3000 Harriman Ln, Madison, Wisconsin, 53713",43.04435139849655,-89.36296839849655,gun
N. Fair Oaks Ave.,"N Fair Oaks Ave, Madison, Wisconsin, 53714",43.10622063821296,-89.33059002800057,gun
Ten block of East Gilman St.,"E Gilman St, Madison, Wisconsin, 53703",43.079187900101395,-89.38720493723538,knife
1700 Niemann Place,"1700 Niemann Pl, Madison, Wisconsin, 53711",43.03519330080514,-89.45107256508122,gun
1210 Williamson St.,"1210 Williamson St, Madison, Wisconsin, 53703",43.083500373593296,-89.36403890218695,gun
6700 W Beltline Hwy,"W Beltline Hwy, Madison, Wisconsin, 53719",43.046425279012944,-89.47365493699266,gun
1300 block N. Stoughton Rd.,"1300 S Stoughton Rd, Madison, Wisconsin, 53716",43.07740299933716,-89.30985770771959,knife
4300 block Beilfuss Drive,"4300 Beilfuss Dr, Madison, Wisconsin, 53704",43.141290960854825,-89.40045683807196,gun
1100 block Catalpa Circle,"1100 Catalpa Cir, Madison, Wisconsin, 53713",43.041857659756175,-89.40190761815535,knife
100 block S Bedford St.,"100 N Bedford St, Madison, Wisconsin, 53703",43.069675307511154,-89.39370534977684,gun
200 block Kennedy Heights,"200 Kennedy Hts, Madison, Wisconsin, 53704",43.14019683989521,-89.38798062705139,knife
5800 block Balsam Rd.,"5800 Balsam Rd, Madison, Wisconsin, 53711",43.03091501625707,-89.47982823664154,knife
1038 Friar Lane (Sherwood Forest Park),"1038 Friar Ln, Madison, Wisconsin, 53711",43.043286553955966,-89.47967244927534,gun
Stoughton Rd. &amp Pflaum Rd.,"S Stoughton Rd & Pflaum Rd, Madison, Wisconsin, 53716",43.06226399999999,-89.3101815,gun
1500 block Rae Lane,"1500 Rae Ln, Madison, Wisconsin, 53711",43.036937650723736,-89.48423342756267,gun
300 block Clyde Gallagher Ave.,"300 Clyde Gallagher Ave, Madison, Wisconsin, 53704",43.10258224399764,-89.3400510681257,gun
2800 block Commercial Ave.,"2800 Commercial Ave, Madison, Wisconsin, 53704",43.106848099113066,-89.34528015146581,gun
4200 block Milwaukee St.,"4200 Milwaukee St, Madison, Wisconsin, 53714",43.09856693276246,-89.31288367995106,gun
2000 block Baird St.,"2000 Baird St, Madison, Wisconsin, 53713",43.04432503153471,-89.39070910670944,gun
2000 block Baird St.,"2000 Baird St, Madison, Wisconsin, 53713",43.04432503153471,-89.39070910670944,gun
200 block N Marquette St.,"200 S Marquette St, Madison, Wisconsin, 53704",43.09515819774018,-89.34164223256691,gun
1400 block Theresa Terrace,"1400 Theresa Ter, Madison, Wisconsin, 53711",43.03805241356789,-89.48988947814662,gun
2400 block of Prairie Road,"2400 Prairie Rd, Madison, Wisconsin, 53711",43.02682566199225,-89.4889409913955,gun
1300 block Northport Dr.,"1300 Northport Dr, Madison, Wisconsin, 53704",43.13526499028703,-89.37403563735866,gun
20 block North Street,"20 North St, Madison, Wisconsin, 53704",43.100651421028395,-89.3491778323906,gun
